ALS2
ANG
ANXA11
APOE
APP
CCNF
CHCHD10
CHMP2B
CSF1R
DCTN1
ERBB4
FIG4
FUS
GRN
HNRNPA1
KIF5A
LMNB1
MAPT
MATR3
NEK1
OPTN
PSEN1
PSEN2
SIGMAR1
SOD1
SPAST
SPG7
SPG11
SPTLC1
SQSTM1
TARDBP
TBK1
TUBA4A
UBQLN2
UNC13A
VAPB
VCP
